epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,16853.7,0.51822,0.69106,1.18885,0.9097,0.93342,0.9711,0.87946,0.55373,0.60016,0.8028,0.000577782,0.000577782,0.000577782
68,17092.8,0.48878,0.66487,1.15733,0.95124,0.96083,0.97901,0.87446,0.55913,0.52367,0.79918,0.000561279,0.000561279,0.000561279
69,17332.1,0.50672,0.68388,1.16946,0.88755,0.95741,0.98048,0.91974,0.41031,0.45029,0.5426,0.000544776,0.000544776,0.000544776
70,17572.1,0.504,0.69745,1.17519,0.89938,0.9673,0.98519,0.8983,0.45783,0.4284,0.60362,0.000528272,0.000528272,0.000528272
71,17812,0.47512,0.68922,1.15705,0.91736,0.94835,0.97025,0.84698,0.61561,0.55534,0.88615,0.000511769,0.000511769,0.000511769
72,18053,0.48579,0.68399,1.16113,0.89074,0.92504,0.97222,0.90321,0.40531,0.5323,0.5571,0.000495266,0.000495266,0.000495266
73,18293.8,0.48137,0.67902,1.15525,0.93441,0.96137,0.974,0.87574,0.57818,0.57446,0.84829,0.000478762,0.000478762,0.000478762
74,18534.7,0.48853,0.67605,1.16303,0.91263,0.94879,0.97882,0.898,0.49134,0.51044,0.69768,0.000462259,0.000462259,0.000462259
75,18775.3,0.48342,0.67219,1.156,0.94499,0.95513,0.97492,0.8882,0.50176,0.4648,0.70537,0.000445756,0.000445756,0.000445756
76,19016,0.47515,0.65979,1.15885,0.94871,0.94687,0.98524,0.94158,0.37012,0.37832,0.49875,0.000429253,0.000429253,0.000429253
77,19256.4,0.47837,0.66864,1.1615,0.944,0.94208,0.9775,0.8522,0.60977,0.5249,0.88363,0.000412749,0.000412749,0.000412749
78,19497.1,0.4631,0.64328,1.14111,0.9418,0.95051,0.98338,0.86945,0.58169,0.52074,0.83226,0.000396246,0.000396246,0.000396246
79,19738,0.47535,0.6409,1.15277,0.93712,0.93442,0.96423,0.76129,0.83602,0.89783,1.26003,0.000379743,0.000379743,0.000379743
80,19978.7,0.45885,0.64943,1.13987,0.94002,0.9411,0.98637,0.93699,0.37438,0.3947,0.49639,0.000363239,0.000363239,0.000363239
81,20219.7,0.44971,0.6409,1.13434,0.95133,0.93026,0.96846,0.74867,0.89899,0.73893,1.43834,0.000346736,0.000346736,0.000346736
82,20459.8,0.44142,0.63702,1.12032,0.96113,0.96069,0.98815,0.9072,0.45191,0.39362,0.65245,0.000330233,0.000330233,0.000330233
83,20700,0.43809,0.63614,1.12252,0.93614,0.96826,0.98497,0.90457,0.45468,0.40886,0.63918,0.000313729,0.000313729,0.000313729
84,20941.4,0.44189,0.63919,1.12992,0.9489,0.94861,0.98407,0.93515,0.35457,0.38581,0.47831,0.000297226,0.000297226,0.000297226
85,21181.5,0.43576,0.63243,1.13042,0.93182,0.96445,0.98515,0.90695,0.41501,0.37397,0.55829,0.000280723,0.000280723,0.000280723
86,21422.2,0.43806,0.64098,1.13074,0.95314,0.96313,0.98036,0.89745,0.45414,0.4532,0.62402,0.00026422,0.00026422,0.00026422
87,21663,0.45482,0.64282,1.14758,0.93075,0.96146,0.98412,0.91844,0.42053,0.39322,0.57017,0.000247716,0.000247716,0.000247716
88,21901.1,0.43214,0.63253,1.11572,0.95705,0.94261,0.96546,0.79399,0.74016,0.68544,1.10444,0.000231213,0.000231213,0.000231213
89,22143,0.41801,0.61866,1.11218,0.97053,0.93485,0.9796,0.88751,0.52155,0.46455,0.73365,0.00021471,0.00021471,0.00021471
90,22383.2,0.42663,0.61212,1.11708,0.92832,0.98277,0.98286,0.9326,0.39838,0.40014,0.54776,0.000198206,0.000198206,0.000198206
91,22620.6,0.14362,0.37969,0.98425,0.93918,0.94641,0.98539,0.98539,0.28353,0.43742,0.38441,0.000181703,0.000181703,0.000181703
92,22857.9,0.0837,0.19708,0.92435,0.94902,0.9428,0.98483,0.98483,0.25754,0.54034,0.33731,0.0001652,0.0001652,0.0001652
93,23095.9,0.06913,0.18414,0.9211,0.93563,0.96712,0.98649,0.98649,0.23607,0.47133,0.32335,0.000148696,0.000148696,0.000148696
94,23333.1,0.05933,0.17421,0.913,0.94028,0.95826,0.98528,0.98517,0.25527,0.40715,0.35428,0.000132193,0.000132193,0.000132193
95,23571.4,0.05705,0.17054,0.91466,0.95716,0.95698,0.98731,0.98731,0.23171,0.43733,0.31519,0.00011569,0.00011569,0.00011569
96,23809,0.05233,0.15523,0.90916,0.93605,0.95739,0.98625,0.98625,0.2445,0.44507,0.33183,9.91865e-05,9.91865e-05,9.91865e-05
97,24046.6,0.04861,0.1454,0.90975,0.94402,0.95808,0.98621,0.98621,0.24637,0.44747,0.33304,8.26832e-05,8.26832e-05,8.26832e-05
98,24284.2,0.04754,0.13353,0.91007,0.94622,0.94879,0.98636,0.98621,0.23764,0.44047,0.32367,6.61799e-05,6.61799e-05,6.61799e-05
99,24522.5,0.04414,0.13588,0.91262,0.94204,0.96115,0.98625,0.98577,0.24286,0.42743,0.33409,4.96766e-05,4.96766e-05,4.96766e-05
100,24760.2,0.04267,0.12889,0.91583,0.93622,0.961,0.98667,0.98654,0.24025,0.42509,0.3307,3.31733e-05,3.31733e-05,3.31733e-05
